Station,Hour,Temperature,Humidity,Wind Speed,Pressure,Latitude,Longitude
AWS-001,0,29.11,68.23,13.5,1009.88,27.1767,78.0081
AWS-001,1,28.63,68.79,12.26,1007.37,27.1767,78.0081
AWS-001,2,29.59,67.53,13.76,1009.56,27.1767,78.0081
AWS-001,3,29.87,69.95,12.94,1006.28,27.1767,78.0081
AWS-001,4,30.17,66.23,13.76,1007.9,27.1767,78.0081
AWS-001,5,30.09,66.79,14.45,1007.69,27.1767,78.0081
AWS-001,6,30.05,67.37,13.06,1008.73,27.1767,78.0081
AWS-001,7,30.3,68.04,16.28,1007.19,27.1767,78.0081
AWS-001,8,29.86,67.06,13.23,1010.26,27.1767,78.0081
AWS-001,9,29.81,67.12,10.35,1009.3,27.1767,78.0081
AWS-001,10,29.86,69.09,10.67,1008.46,27.1767,78.0081
AWS-001,11,29.35,69.63,13.74,1008.45,27.1767,78.0081
AWS-001,12,29.24,69.63,12.58,1009.26,27.1767,78.0081
AWS-001,13,28.18,71.16,11.06,1006.72,27.1767,78.0081
AWS-001,14,28.3,73.64,10.27,1009.94,27.1767,78.0081
AWS-001,15,27.56,72.37,12.33,1009.17,27.1767,78.0081
AWS-001,16,28.21,72.77,11.3,1007.08,27.1767,78.0081
AWS-001,17,28.14,71.43,9.45,1005.73,27.1767,78.0081
AWS-001,18,27.48,73.79,12.28,1009.38,27.1767,78.0081
AWS-001,19,27.69,72.86,13.25,1007.38,27.1767,78.0081
AWS-001,20,28.12,70.77,11.27,1007.24,27.1767,78.0081
AWS-001,21,27.73,73.26,11.06,1008.02,27.1767,78.0081
AWS-001,22,28.57,71.53,13.33,1007.8,27.1767,78.0081
AWS-001,23,28.54,70.8,8.63,1005.11,27.1767,78.0081
AWS-002,0,28.54,69.43,12.8,1006.19,26.8467,80.9462
AWS-002,1,29.18,71.59,11.29,1009.48,26.8467,80.9462
AWS-002,2,29.27,69.15,10.1,1007.32,26.8467,80.9462
AWS-002,3,30.14,65.12,12.87,1008.48,26.8467,80.9462
AWS-002,4,29.83,66.17,12.14,1006.94,26.8467,80.9462
AWS-002,5,30.24,67.55,15.2,1007.52,26.8467,80.9462
AWS-002,6,29.84,68.59,12.44,1010.72,26.8467,80.9462
AWS-002,7,30.45,67.63,14.93,1005.62,26.8467,80.9462
AWS-002,8,29.82,66.98,11.22,1005.25,26.8467,80.9462
AWS-002,9,30.07,67.53,9.06,1005.97,26.8467,80.9462
AWS-002,10,29.71,69.84,15.99,1013.83,26.8467,80.9462
AWS-002,11,29.46,67.6,7.74,1008.54,26.8467,80.9462
AWS-002,12,28.72,69.95,10.78,1007.72,26.8467,80.9462
AWS-002,13,29.06,70.11,11.68,1005.93,26.8467,80.9462
AWS-002,14,27.81,71.64,11.89,1011.54,26.8467,80.9462
AWS-002,15,28.2,73.08,11.0,1005.63,26.8467,80.9462
AWS-002,16,27.62,71.67,16.26,1006.36,26.8467,80.9462
AWS-002,17,28.13,70.38,13.86,1008.77,26.8467,80.9462
AWS-002,18,27.75,72.45,10.69,1008.89,26.8467,80.9462
AWS-002,19,27.68,70.8,9.44,1008.35,26.8467,80.9462
AWS-002,20,28.51,71.21,11.76,1008.57,26.8467,80.9462
AWS-002,21,28.61,71.11,11.18,1010.21,26.8467,80.9462
AWS-002,22,28.55,73.2,12.37,1005.55,26.8467,80.9462
AWS-002,23,47.0,74.06,15.45,1007.64,26.8467,80.9462
AWS-003,0,29.87,72.46,9.79,1006.21,25.4358,81.8463
AWS-003,1,30.54,68.34,11.99,1007.67,25.4358,81.8463
AWS-003,2,30.72,70.67,12.18,1009.29,25.4358,81.8463
AWS-003,3,30.13,69.66,10.31,1005.56,25.4358,81.8463
AWS-003,4,30.73,68.04,13.83,1005.35,25.4358,81.8463
AWS-003,5,31.17,66.93,11.34,1010.01,25.4358,81.8463
AWS-003,6,31.39,69.23,11.69,1006.61,25.4358,81.8463
AWS-003,7,31.08,68.2,12.35,1005.83,25.4358,81.8463
AWS-003,8,31.07,68.2,17.03,1011.75,25.4358,81.8463
AWS-003,9,30.55,68.47,9.07,1006.82,25.4358,81.8463
AWS-003,10,30.71,70.39,10.54,1006.69,25.4358,81.8463
AWS-003,11,29.56,70.64,9.88,1006.94,25.4358,81.8463
AWS-003,12,29.69,70.47,8.48,1005.07,25.4358,81.8463
AWS-003,13,30.43,67.2,9.81,1011.67,25.4358,81.8463
AWS-003,14,30.42,67.41,11.26,1008.68,25.4358,81.8463
AWS-003,15,29.76,69.01,11.51,1009.55,25.4358,81.8463
AWS-003,16,29.11,71.21,11.73,1005.25,25.4358,81.8463
AWS-003,17,28.76,72.09,12.46,1006.89,25.4358,81.8463
AWS-003,18,28.97,73.59,12.31,1008.7,25.4358,81.8463
AWS-003,19,28.86,72.28,10.56,1008.63,25.4358,81.8463
AWS-003,20,28.93,75.29,15.15,1008.77,25.4358,81.8463
AWS-003,21,28.88,70.56,14.38,1008.53,25.4358,81.8463
AWS-003,22,29.57,68.25,13.85,1008.91,25.4358,81.8463
AWS-003,23,29.3,70.69,12.53,1008.1,25.4358,81.8463
AWS-004,0,27.9,70.05,11.5,1008.31,26.4499,80.3319
AWS-004,1,28.83,64.5,11.53,1008.35,26.4499,80.3319
AWS-004,2,28.7,68.03,8.49,1008.66,26.4499,80.3319
AWS-004,3,29.45,64.79,13.73,1007.34,26.4499,80.3319
AWS-004,4,29.02,66.39,11.33,1010.6,26.4499,80.3319
AWS-004,5,29.36,69.87,14.35,1008.88,26.4499,80.3319
AWS-004,6,29.81,67.04,13.66,1007.41,26.4499,80.3319
AWS-004,7,29.18,66.59,13.98,1005.64,26.4499,80.3319
AWS-004,8,29.31,67.09,14.34,1009.5,26.4499,80.3319
AWS-004,9,29.49,68.12,8.86,1007.87,26.4499,80.3319
AWS-004,10,28.19,68.84,15.02,1009.28,26.4499,80.3319
AWS-004,11,28.07,68.35,12.07,1005.57,26.4499,80.3319
AWS-004,12,27.77,70.94,14.31,1009.22,26.4499,80.3319
AWS-004,13,26.89,72.68,12.14,1008.83,26.4499,80.3319
AWS-004,14,27.97,66.97,10.82,1009.18,26.4499,80.3319
AWS-004,15,26.6,75.02,12.74,1009.69,26.4499,80.3319
AWS-004,16,26.76,73.7,14.14,1008.47,26.4499,80.3319
AWS-004,17,26.92,72.56,10.27,1007.7,26.4499,80.3319
AWS-004,18,26.75,73.08,14.0,1005.88,26.4499,80.3319
AWS-004,19,26.8,74.63,10.51,1006.36,26.4499,80.3319
AWS-004,20,27.03,73.2,12.02,1010.66,26.4499,80.3319
AWS-004,21,27.45,72.36,13.11,1012.66,26.4499,80.3319
AWS-004,22,27.33,68.34,15.21,1007.08,26.4499,80.3319
AWS-004,23,27.73,72.51,8.8,1005.5,26.4499,80.3319
AWS-005,0,28.44,69.93,12.88,1009.05,25.3176,82.9739
AWS-005,1,29.41,67.07,7.38,1008.11,25.3176,82.9739
AWS-005,2,29.43,69.82,13.4,1008.28,25.3176,82.9739
AWS-005,3,30.11,68.11,13.06,1006.59,25.3176,82.9739
AWS-005,4,29.98,68.34,13.64,1007.21,25.3176,82.9739
AWS-005,5,30.34,66.92,11.76,1009.66,25.3176,82.9739
AWS-005,6,29.5,67.05,9.04,1003.33,25.3176,82.9739
AWS-005,7,29.92,69.28,11.43,1008.4,25.3176,82.9739
AWS-005,8,30.42,69.15,11.86,1010.71,25.3176,82.9739
AWS-005,9,29.88,66.98,10.81,1005.04,25.3176,82.9739
AWS-005,10,29.29,68.88,13.61,1011.44,25.3176,82.9739
AWS-005,11,28.83,70.94,9.92,1008.95,25.3176,82.9739
AWS-005,12,28.95,67.35,13.86,1006.79,25.3176,82.9739
AWS-005,13,28.5,69.39,10.69,1008.86,25.3176,82.9739
AWS-005,14,28.33,71.83,12.72,1010.64,25.3176,82.9739
AWS-005,15,28.03,69.72,14.13,1007.34,25.3176,82.9739
AWS-005,16,28.35,71.87,11.74,1008.7,25.3176,82.9739
AWS-005,17,28.52,74.07,12.14,1008.32,25.3176,82.9739
AWS-005,18,28.18,70.38,12.67,1007.95,25.3176,82.9739
AWS-005,19,27.95,70.85,8.82,1003.85,25.3176,82.9739
AWS-005,20,27.57,72.17,11.41,1011.87,25.3176,82.9739
AWS-005,21,28.54,69.48,12.7,1007.19,25.3176,82.9739
AWS-005,22,28.3,71.68,13.24,1007.32,25.3176,82.9739
AWS-005,23,29.06,68.16,12.01,1013.2,25.3176,82.9739
